accession_number,ticker,company,cik,form,filing_date,report_date,acceptance_datetime,primary_document,primary_doc_description,filing_url,filing_index_url,first_seen_at,alert_sent
0000950142-26-001733,ETN,Eaton,0001551182,8-K,2026-06-11,2026-06-10,2026-06-11T06:40:28.000Z,eh260792115_8k.htm,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1551182/000095014226001733/eh260792115_8k.htm,https://www.sec.gov/Archives/edgar/data/1551182/000095014226001733/0000950142-26-001733-index.html,2026-06-11 23:08:04,True
0001769628-26-000278,CRWV,CoreWeave,0001769628,8-K,2026-06-11,2026-06-11,2026-06-11T10:03:03.000Z,crwv-20260611.htm,8-K,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000278/crwv-20260611.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000278/0001769628-26-000278-index.html,2026-06-11 23:08:05,True
0001193125-26-267688,MRVL,Marvell,0001835632,8-K,2026-06-11,2026-06-10,2026-06-11T16:33:54.000Z,d151562d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1835632/000119312526267688/d151562d8k.htm,https://www.sec.gov/Archives/edgar/data/1835632/000119312526267688/0001193125-26-267688-index.html,2026-06-11 23:08:06,True
0001104659-26-072623,RGTI,Rigetti Computing,0001838359,8-K,2026-06-11,2026-06-09,2026-06-11T11:30:37.000Z,tm2617136d1_8k.htm,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1838359/000110465926072623/tm2617136d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1838359/000110465926072623/0001104659-26-072623-index.html,2026-06-11 23:08:09,True
0001628280-26-042641,VRT,Vertiv,0001674101,8-K,2026-06-12,2026-06-12,2026-06-12T06:33:08.000Z,vrt-20260612.htm,8-K,https://www.sec.gov/Archives/edgar/data/1674101/000162828026042641/vrt-20260612.htm,https://www.sec.gov/Archives/edgar/data/1674101/000162828026042641/0001628280-26-042641-index.html,2026-06-12 17:29:25,True
0001628280-26-043303,CRDO,Credo,0001807794,10-K,2026-06-15,2026-05-02,2026-06-15T17:09:27.000Z,crdo-20260502.htm,10-K,https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/0001628280-26-043303-index.html,2026-06-15 23:19:39,True
0001104659-26-074352,NBIS,Nebius,0001513845,6-K,2026-06-16,2026-06-16,2026-06-16T08:58:10.000Z,tm2618059d1_6k.htm,FORM 6-K,https://www.sec.gov/Archives/edgar/data/1513845/000110465926074352/tm2618059d1_6k.htm,https://www.sec.gov/Archives/edgar/data/1513845/000110465926074352/0001104659-26-074352-index.html,2026-06-16 23:06:36,True
0001628280-26-043590,DDOG,Datadog,0001561550,8-K,2026-06-16,2026-06-15,2026-06-16T16:44:37.000Z,ddog-20260615.htm,8-K,https://www.sec.gov/Archives/edgar/data/1561550/000162828026043590/ddog-20260615.htm,https://www.sec.gov/Archives/edgar/data/1561550/000162828026043590/0001628280-26-043590-index.html,2026-06-16 23:06:38,True
0001849056-26-000037,OKLO,Oklo,0001849056,10-Q/A,2026-06-17,2026-03-31,2026-06-16T20:37:40.000Z,oklo-20260331.htm,10-Q/A,https://www.sec.gov/Archives/edgar/data/1849056/000184905626000037/oklo-20260331.htm,https://www.sec.gov/Archives/edgar/data/1849056/000184905626000037/0001849056-26-000037-index.html,2026-06-17 23:01:53,True
0001193125-26-275783,NVDA,NVIDIA,0001045810,8-K,2026-06-18,2026-06-15,2026-06-18T16:00:24.000Z,d48176d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1045810/000119312526275783/d48176d8k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000119312526275783/0001193125-26-275783-index.html,2026-06-18 23:20:04,True
0001193125-26-275077,AVGO,Broadcom,0001730168,8-K,2026-06-18,2026-06-17,2026-06-18T09:00:28.000Z,d149683d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1730168/000119312526275077/d149683d8k.htm,https://www.sec.gov/Archives/edgar/data/1730168/000119312526275077/0001193125-26-275077-index.html,2026-06-18 23:20:05,True
0001628280-26-044317,VRT,Vertiv,0001674101,8-K,2026-06-18,2026-06-17,2026-06-18T16:17:55.000Z,vrt-20260617.htm,8-K,https://www.sec.gov/Archives/edgar/data/1674101/000162828026044317/vrt-20260617.htm,https://www.sec.gov/Archives/edgar/data/1674101/000162828026044317/0001628280-26-044317-index.html,2026-06-18 23:20:07,True
0001769628-26-000291,CRWV,CoreWeave,0001769628,8-K,2026-06-18,2026-06-18,2026-06-18T16:09:19.000Z,crwv-20260618.htm,8-K,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000291/crwv-20260618.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000291/0001769628-26-000291-index.html,2026-06-18 23:20:09,True
0001819810-26-000081,RDW,Redwire,0001819810,8-K,2026-06-18,2026-06-18,2026-06-18T16:17:04.000Z,rdw-20260618.htm,8-K,https://www.sec.gov/Archives/edgar/data/1819810/000181981026000081/rdw-20260618.htm,https://www.sec.gov/Archives/edgar/data/1819810/000181981026000081/0001819810-26-000081-index.html,2026-06-18 23:20:11,True
0001907982-26-000090,QBTS,D-Wave Quantum,0001907982,8-K,2026-06-18,2026-06-18,2026-06-18T07:00:53.000Z,qbts-20260618.htm,8-K,https://www.sec.gov/Archives/edgar/data/1907982/000190798226000090/qbts-20260618.htm,https://www.sec.gov/Archives/edgar/data/1907982/000190798226000090/0001907982-26-000090-index.html,2026-06-18 23:20:13,True
0001193125-26-276342,IONQ,IonQ,0001824920,8-K,2026-06-22,2026-06-16,2026-06-18T21:55:16.000Z,ionq-20260616.htm,8-K,https://www.sec.gov/Archives/edgar/data/1824920/000119312526276342/ionq-20260616.htm,https://www.sec.gov/Archives/edgar/data/1824920/000119312526276342/0001193125-26-276342-index.html,2026-06-22 23:04:15,True
0001193125-26-277521,ORCL,Oracle,0001341439,10-K,2026-06-22,2026-05-31,2026-06-22T16:12:40.000Z,orcl-20260531.htm,10-K,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/orcl-20260531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/0001193125-26-277521-index.html,2026-06-22 23:04:15,True
0001062993-26-003317,UUUU,Energy Fuels,0001385849,8-K,2026-06-23,2026-06-23,2026-06-23T16:29:16.000Z,form8k.htm,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1385849/000106299326003317/form8k.htm,https://www.sec.gov/Archives/edgar/data/1385849/000106299326003317/0001062993-26-003317-index.html,2026-06-23 22:49:04,True
0000723125-26-000013,MU,Micron,0000723125,8-K,2026-06-24,2026-06-24,2026-06-24T16:02:01.000Z,mu-20260624.htm,8-K,https://www.sec.gov/Archives/edgar/data/723125/000072312526000013/mu-20260624.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312526000013/0000723125-26-000013-index.html,2026-06-24 22:49:20,True
0001046179-26-000377,TSM,TSMC,0001046179,6-K,2026-06-25,2026-05-31,2026-06-25T06:52:39.000Z,tsm-monthend6kx20260625.htm,6-K,https://www.sec.gov/Archives/edgar/data/1046179/000104617926000377/tsm-monthend6kx20260625.htm,https://www.sec.gov/Archives/edgar/data/1046179/000104617926000377/0001046179-26-000377-index.html,2026-06-25 22:57:47,True
0001628280-26-045564,MRVL,Marvell,0001835632,8-K,2026-06-25,2026-06-25,2026-06-25T16:43:43.000Z,mrvl-20260625.htm,8-K,https://www.sec.gov/Archives/edgar/data/1835632/000162828026045564/mrvl-20260625.htm,https://www.sec.gov/Archives/edgar/data/1835632/000162828026045564/0001628280-26-045564-index.html,2026-06-25 22:57:50,True
0000723125-26-000015,MU,Micron,0000723125,10-Q,2026-06-25,2026-05-28,2026-06-24T18:59:46.000Z,mu-20260528.htm,10-Q,https://www.sec.gov/Archives/edgar/data/723125/000072312526000015/mu-20260528.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312526000015/0000723125-26-000015-index.html,2026-06-25 22:57:54,True
0001062993-26-003385,UUUU,Energy Fuels,0001385849,8-K,2026-06-26,2026-06-23,2026-06-26T17:16:27.000Z,form8k.htm,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1385849/000106299326003385/form8k.htm,https://www.sec.gov/Archives/edgar/data/1385849/000106299326003385/0001062993-26-003385-index.html,2026-06-26 22:47:18,True
0001571996-26-000032,DELL,Dell Technologies,0001571996,8-K,2026-06-17,2026-06-11,2026-06-17T20:18:29.000Z,dell-20260611.htm,8-K,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000032/dell-20260611.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000032/0001571996-26-000032-index.html,2026-06-29 22:38:13,True
0001193125-26-272720,DELL,Dell Technologies,0001571996,8-K,2026-06-16,2026-06-16,2026-06-16T20:36:39.000Z,d20600d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1571996/000119312526272720/d20600d8k.htm,https://www.sec.gov/Archives/edgar/data/1571996/000119312526272720/0001193125-26-272720-index.html,2026-06-29 22:38:13,True
0001193125-26-269594,DELL,Dell Technologies,0001571996,8-K,2026-06-12,2026-06-11,2026-06-12T20:45:04.000Z,d131151d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1571996/000119312526269594/d131151d8k.htm,https://www.sec.gov/Archives/edgar/data/1571996/000119312526269594/0001193125-26-269594-index.html,2026-06-29 22:38:13,True
0001193125-26-265877,DELL,Dell Technologies,0001571996,8-K,2026-06-10,2026-06-10,2026-06-10T20:19:53.000Z,d98058d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1571996/000119312526265877/d98058d8k.htm,https://www.sec.gov/Archives/edgar/data/1571996/000119312526265877/0001193125-26-265877-index.html,2026-06-29 22:38:13,True
0001571996-26-000030,DELL,Dell Technologies,0001571996,10-Q,2026-06-09,2026-05-01,2026-06-09T20:11:41.000Z,dell-20260501.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000030/dell-20260501.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000030/0001571996-26-000030-index.html,2026-06-29 22:38:13,True
0001193125-26-267607,CIEN,Ciena,0000936395,8-K,2026-06-11,2026-06-08,2026-06-11T20:21:49.000Z,d118604d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/936395/000119312526267607/d118604d8k.htm,https://www.sec.gov/Archives/edgar/data/936395/000119312526267607/0001193125-26-267607-index.html,2026-06-29 22:38:15,True
0001193125-26-260665,CIEN,Ciena,0000936395,8-K,2026-06-08,2026-06-08,2026-06-08T11:08:08.000Z,d125730d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/936395/000119312526260665/d125730d8k.htm,https://www.sec.gov/Archives/edgar/data/936395/000119312526260665/0001193125-26-260665-index.html,2026-06-29 22:38:15,True
0001193125-26-268170,STX,Seagate Technology,0001137789,8-K,2026-06-12,2026-06-11,2026-06-12T00:01:27.000Z,d24300d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1137789/000119312526268170/d24300d8k.htm,https://www.sec.gov/Archives/edgar/data/1137789/000119312526268170/0001193125-26-268170-index.html,2026-06-29 22:38:15,True
0000874238-26-000087,STRL,Sterling Infrastructure,0000874238,8-K,2026-06-09,2026-06-09,2026-06-09T13:06:04.000Z,strl-20260609.htm,FORM 8-K,https://www.sec.gov/Archives/edgar/data/874238/000087423826000087/strl-20260609.htm,https://www.sec.gov/Archives/edgar/data/874238/000087423826000087/0000874238-26-000087-index.html,2026-06-29 22:38:15,True
0001104659-26-076376,CRWD,CrowdStrike,0001535527,8-K,2026-06-22,2026-06-17,2026-06-22T20:10:10.000Z,tm2618192d1_8k.htm,FORM 8-K,https://www.sec.gov/Archives/edgar/data/1535527/000110465926076376/tm2618192d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1535527/000110465926076376/0001104659-26-076376-index.html,2026-06-29 22:38:17,True
0001193125-26-277682,BE,Bloom Energy,0001664703,8-K/A,2026-06-22,2026-06-15,2026-06-22T21:10:03.000Z,d168613d8ka.htm,8-K/A,https://www.sec.gov/Archives/edgar/data/1664703/000119312526277682/d168613d8ka.htm,https://www.sec.gov/Archives/edgar/data/1664703/000119312526277682/0001193125-26-277682-index.html,2026-06-29 22:38:18,True
0001193125-26-274388,BE,Bloom Energy,0001664703,8-K,2026-06-17,2026-06-15,2026-06-17T21:16:13.000Z,d100413d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1664703/000119312526274388/d100413d8k.htm,https://www.sec.gov/Archives/edgar/data/1664703/000119312526274388/0001193125-26-274388-index.html,2026-06-29 22:38:18,True
0001193125-26-269375,KLAC,KLA,0000319201,8-K,2026-06-12,2026-06-11,2026-06-12T16:05:07.000Z,d144278d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/319201/000119312526269375/d144278d8k.htm,https://www.sec.gov/Archives/edgar/data/319201/000119312526269375/0001193125-26-269375-index.html,2026-06-29 22:38:18,True
0001045810-26-000056,NVDA,NVIDIA,0001045810,8-K,2026-06-30,2026-06-24,2026-06-30T16:27:26.000Z,nvda-20260624.htm,8-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000056/nvda-20260624.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000056/0001045810-26-000056-index.html,2026-06-30 22:52:34,True
0001104659-26-079418,NOK,Nokia,0000924613,6-K,2026-06-30,2026-06-30,2026-06-30T17:26:04.000Z,tm2619445d1_6k.htm,FORM 6-K,https://www.sec.gov/Archives/edgar/data/924613/000110465926079418/tm2619445d1_6k.htm,https://www.sec.gov/Archives/edgar/data/924613/000110465926079418/0001104659-26-079418-index.html,2026-06-30 22:52:39,True
0001907982-26-000093,QBTS,D-Wave Quantum,0001907982,8-K,2026-06-30,2026-06-30,2026-06-30T07:01:27.000Z,qbts-20260630.htm,8-K,https://www.sec.gov/Archives/edgar/data/1907982/000190798226000093/qbts-20260630.htm,https://www.sec.gov/Archives/edgar/data/1907982/000190798226000093/0001907982-26-000093-index.html,2026-06-30 22:52:42,True
0001477333-26-000042,NET,Cloudflare,0001477333,8-K,2026-06-30,2026-06-30,2026-06-30T16:56:13.000Z,cloud-20260630.htm,8-K,https://www.sec.gov/Archives/edgar/data/1477333/000147733326000042/cloud-20260630.htm,https://www.sec.gov/Archives/edgar/data/1477333/000147733326000042/0001477333-26-000042-index.html,2026-06-30 22:52:48,True
0001640147-26-000032,SNOW,Snowflake,0001640147,8-K,2026-06-30,2026-06-29,2026-06-30T16:22:30.000Z,snow-20260629.htm,8-K,https://www.sec.gov/Archives/edgar/data/1640147/000164014726000032/snow-20260629.htm,https://www.sec.gov/Archives/edgar/data/1640147/000164014726000032/0001640147-26-000032-index.html,2026-06-30 22:52:48,True
0001819810-26-000084,RDW,Redwire,0001819810,8-K,2026-07-01,2026-06-30,2026-07-01T16:21:36.000Z,rdw-20260630.htm,8-K,https://www.sec.gov/Archives/edgar/data/1819810/000181981026000084/rdw-20260630.htm,https://www.sec.gov/Archives/edgar/data/1819810/000181981026000084/0001819810-26-000084-index.html,2026-07-01 22:49:59,True
0001571996-26-000036,DELL,Dell Technologies,0001571996,8-K,2026-07-01,2026-06-25,2026-07-01T06:47:07.000Z,dell-20260625.htm,8-K,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000036/dell-20260625.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000036/0001571996-26-000036-index.html,2026-07-01 22:50:05,True
0001140361-26-027202,IREN,IREN Limited,0001878848,8-K,2026-07-01,2026-06-30,2026-07-01T16:05:32.000Z,ef20077190_8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1878848/000114036126027202/ef20077190_8k.htm,https://www.sec.gov/Archives/edgar/data/1878848/000114036126027202/0001140361-26-027202-index.html,2026-07-01 22:50:05,True
0001477333-26-000044,NET,Cloudflare,0001477333,8-K/A,2026-07-01,2026-06-30,2026-07-01T17:09:26.000Z,cloud-20260630.htm,8-K/A,https://www.sec.gov/Archives/edgar/data/1477333/000147733326000044/cloud-20260630.htm,https://www.sec.gov/Archives/edgar/data/1477333/000147733326000044/0001477333-26-000044-index.html,2026-07-01 22:50:08,True
0001045810-26-000060,NVDA,NVIDIA,0001045810,8-K,2026-07-02,2026-06-28,2026-07-02T09:23:16.000Z,nvda-20260628.htm,8-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000060/nvda-20260628.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000060/0001045810-26-000060-index.html,2026-07-02 22:39:34,True
0001046179-26-000381,TSM,TSMC,0001046179,6-K,2026-07-02,2026-07-02,2026-07-02T07:10:57.000Z,a20260702changeofaztreasur.htm,6-K,https://www.sec.gov/Archives/edgar/data/1046179/000104617926000381/a20260702changeofaztreasur.htm,https://www.sec.gov/Archives/edgar/data/1046179/000104617926000381/0001046179-26-000381-index.html,2026-07-02 22:39:35,True
0001193125-26-295589,AVGO,Broadcom,0001730168,8-K,2026-07-06,2026-07-06,2026-07-06T08:00:19.000Z,d84378d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1730168/000119312526295589/d84378d8k.htm,https://www.sec.gov/Archives/edgar/data/1730168/000119312526295589/0001193125-26-295589-index.html,2026-07-06 22:46:07,True
0001193125-26-296224,DELL,Dell Technologies,0001571996,8-K,2026-07-06,2026-07-02,2026-07-06T16:22:22.000Z,d32716d8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/1571996/000119312526296224/d32716d8k.htm,https://www.sec.gov/Archives/edgar/data/1571996/000119312526296224/0001193125-26-296224-index.html,2026-07-06 22:46:15,True
0001030894-26-000038,CLS,Celestica,0001030894,8-K,2026-07-06,2026-07-06,2026-07-06T16:29:40.000Z,cls-20260706.htm,8-K,https://www.sec.gov/Archives/edgar/data/1030894/000103089426000038/cls-20260706.htm,https://www.sec.gov/Archives/edgar/data/1030894/000103089426000038/0001030894-26-000038-index.html,2026-07-06 22:46:16,True
0001907982-26-000097,QBTS,D-Wave Quantum,0001907982,8-K,2026-07-07,2026-07-07,2026-07-07T07:02:12.000Z,qbts-20260707.htm,8-K,https://www.sec.gov/Archives/edgar/data/1907982/000190798226000097/qbts-20260707.htm,https://www.sec.gov/Archives/edgar/data/1907982/000190798226000097/0001907982-26-000097-index.html,2026-07-07 22:40:21,True
